https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1705017600000,2024-01-12 00:00:00,LTC/USD,71.95,77.2,70.5,72.82,7186.87668,523348.3598376
1704931200000,2024-01-11 00:00:00,LTC/USD,69.91,74.57,69.72,71.95,6105.93219,439321.82107050007
1704844800000,2024-01-10 00:00:00,LTC/USD,66.96,71.25,65.35,69.91,7630.53993,533451.0465063
1704758400000,2024-01-09 00:00:00,LTC/USD,67.73,71.06,64.35,66.96,4671.3952,312796.62259199994
1704672000000,2024-01-08 00:00:00,LTC/USD,64.07,71.5,61.73,67.73,4264.07077,288805.51325210003
1704585600000,2024-01-07 00:00:00,LTC/USD,65.7,66.4,63.71,64.07,2063.60844,132215.39275079998
1704499200000,2024-01-06 00:00:00,LTC/USD,66.07,66.08,63.51,65.7,2087.00098,137115.964386
1704412800000,2024-01-05 00:00:00,LTC/USD,66.46,66.63,63.5,66.07,6817.96943,450463.24024009996
1704326400000,2024-01-04 00:00:00,LTC/USD,65.31,68.54,64.96,66.46,3830.27972,254560.3901912
1704240000000,2024-01-03 00:00:00,LTC/USD,72.91,73.57,64.33,65.31,5662.50881,369818.4503811
1704153600000,2024-01-02 00:00:00,LTC/USD,74.76,75.9,72.6,72.91,4633.94662,337861.0480642
1704067200000,2024-01-01 00:00:00,LTC/USD,72.74,74.77,72.13,74.76,1674.66449,125197.9172724
1703980800000,2023-12-31 00:00:00,LTC/USD,73.32,74.23,71.5,72.74,2057.10382,149633.73186679996
1703894400000,2023-12-30 00:00:00,LTC/USD,73.13,74.06,72.45,73.32,1816.55493,133189.80746759998
1703808000000,2023-12-29 00:00:00,LTC/USD,76.54,77.79,72.96,73.13,4619.76963,337843.75304189994
1703721600000,2023-12-28 00:00:00,LTC/USD,76.0,77.58,74.61,76.54,4284.7456,327954.42822400003
1703635200000,2023-12-27 00:00:00,LTC/USD,73.23,77.29,72.12,76.0,6062.69442,460764.77592
1703548800000,2023-12-26 00:00:00,LTC/USD,72.24,74.36,71.17,73.23,2861.93906,209579.79736380003
1703462400000,2023-12-25 00:00:00,LTC/USD,71.12,72.66,70.73,72.24,1188.80048,85878.9466752
1703376000000,2023-12-24 00:00:00,LTC/USD,72.49,72.91,70.3,71.12,1683.59804,119737.49260480002
1703289600000,2023-12-23 00:00:00,LTC/USD,73.73,74.1,71.49,72.49,2193.2361,158987.684889
1703203200000,2023-12-22 00:00:00,LTC/USD,70.91,73.75,70.23,73.73,3621.45759,267010.0681107
1703116800000,2023-12-21 00:00:00,LTC/USD,69.68,71.04,68.97,70.91,3259.66023,231142.5069093
1703030400000,2023-12-20 00:00:00,LTC/USD,70.44,72.03,69.51,69.68,2739.23007,190869.55127760003
1702944000000,2023-12-19 00:00:00,LTC/USD,70.81,71.63,69.7,70.44,1199.4041,84486.024804
1702857600000,2023-12-18 00:00:00,LTC/USD,71.11,71.43,68.1,70.81,2556.34298,181014.6464138
1702771200000,2023-12-17 00:00:00,LTC/USD,72.11,73.47,70.9,71.11,1491.93016,106091.15367759998
1702684800000,2023-12-16 00:00:00,LTC/USD,70.88,73.59,70.53,72.11,1032.28135,74437.8081485
1702598400000,2023-12-15 00:00:00,LTC/USD,72.9,72.94,70.67,70.88,1527.94024,108300.40421119999
1702512000000,2023-12-14 00:00:00,LTC/USD,73.14,76.0,71.38,72.9,3517.37694,256416.77892600003
1702425600000,2023-12-13 00:00:00,LTC/USD,72.35,73.91,70.17,73.14,3086.52694,225748.58039160003
1702339200000,2023-12-12 00:00:00,LTC/USD,72.68,73.59,71.02,72.35,2767.50527,200229.0062845
1702252800000,2023-12-11 00:00:00,LTC/USD,77.14,77.51,70.6,72.68,5796.21366,421268.80880880007
1702166400000,2023-12-10 00:00:00,LTC/USD,76.35,78.88,76.35,77.14,2347.45163,181082.4187382
1702080000000,2023-12-09 00:00:00,LTC/USD,78.42,79.52,75.88,76.35,2562.54275,195650.1389625
1701993600000,2023-12-08 00:00:00,LTC/USD,74.08,78.84,73.46,78.42,7458.8518,584923.1581560001
